file,speaker,text
officer_001.wav,Officer,You been standing here a while. Mind if I check your pockets?
leader_001.wav,,"Stop. Do not say the rest of it out here. I have known for four months that something goes off that dock that is not written down. I did not know the hand. You are about to tell me the hand, and once you have, you do not get to decide what happens to it. Think about whether you are telling me for your own reasons or because you are frightened of me. Both are fine. Only one of them is worth anything to you."
leader_002.wav,,"My son. Yes. Of course it is my son. Nobody else could take from that yard for four months without being found, because nobody else would have been looked for. You will not see him at the dock again. You will see somebody else, and that somebody will answer his phone the first time and will not be drinking. Your price goes down, because you are dealing with the company now and not with a boy. That is what I am giving you and it is more than you think. And hear this properly, because it is the whole of what you have bought: you are a man who told me. That is a good thing to be, once."
leader_003.wav,,"That business is closed and I do not reopen closed business for conversation. He is alive, he is not in Los Santos, and he is not your concern. The dock runs. Use it."
leader_004.wav,,We do.
leader_005.wav,,"Man, again? Aight, aight. Which part you forget."
leader_006.wav,,"Three ways. I front you a bag when you broke -- that's me takin' a risk on you, and you bring me back what it's worth. Or you buy weight off me proper, off your phone, Contacts. Or once you movin' real numbers you text the man at the port and he sell you BRICKS, which is a whole different conversation and a whole different pile of money."
leader_007.wav,,"Weight ain't product. You can't stand on no corner with a brick, dawg. You take it to the kitchen at the house and you step on it -- and that's where the money actually is, 'cause a hundred grams cut to half strength is two hundred grams to sell. Step on it too hard though and people hand it back, and a refusal ain't one lost sale. The block remembers."
leader_008.wav,,"Phone, Dealing, post up. You ain't pickin' customers -- you pickin' a SPOT, and the spot decide everything. Busy pavement move product fast and get you clocked fast. Dead alley don't do neither. Stand there long enough and somebody call it in, so you take your money and you walk before it get to that."
leader_009.wav,,What's on you is what you can sell and what you can lose. What's at the house is safe and it's the only place a delivery can land -- text a plug while you stood at the spot and it come to you there. Move it between the two out your Inventory. And don't be walkin' round holdin' everything you own.
leader_010.wav,,"Two different problems. Police is heat -- stand on one corner too long and they come and search you, and if you holdin' they take it. Other people's blocks is worse, 'cause they ain't gonna search you. Look at the notice when you cross into somewhere: it tell you whose it is by the colour before you even read it."
leader_011.wav,,"Aight, listen. You take the pack and you go post up somewhere people already walk past. A corner, a lot, outside a store, I don't care -- long as it's busy and it ain't nobody else's. And you don't chase nobody, that's for amateurs. You stand there and they come to YOU. Serve 'em, pocket it, keep it movin'. Do that all day and you got somethin'."
leader_012.wav,,"Course you can step on it. Cut it, stretch it, twenty turn into thirty and you just made a extra ten out of nothin'. Everybody do it, I done it. But they can TASTE it, dawg. Fiend ain't stupid, he broke -- that's different. He get home with some weak pack and next week he walk PAST your corner to somebody else's. That's how you lose a spot without nobody shootin' at you. So that's your whole decision out here: how greedy you is, against how good your name is. Get that wrong enough times and you ain't got one."
leader_013.wav,,"Long as you movin' MY pack, you a errand boy. No disrespect -- everybody start there, I started there. Move it, bring my bread back, and then we can talk about you bein' one of us for real. After that it's yours: somewhere to keep your work, people to call when you run dry instead of standin' in my yard, and when you moved enough that I ain't gotta worry about you no more, I'll put you on to where it actually come from. And I don't mean no corner boy. I mean the boat. But that's a long way from where you standin' right now, so do the first thing first."
